,vfid,vfacc,vf_full_name,vf_pathogen,vf_short_name,vf_category
1,VFG000676,AAD32411,anthrax toxin lethal factor precursor ,Bacillus anthracis str. Sterne,lef,Anthrax toxin (VF0142) 
2,VFG000677,AAD32414,"anthrax toxin moiety, protective antigen ",Bacillus anthracis str. Sterne,pagA,Anthrax toxin (VF0142) 
3,VFG000678,AAD32426,"calmodulin sensitive adenylate cyclase, edema factor ",Bacillus anthracis str. Sterne,cya,Anthrax toxin (VF0142) 
4,VFG000679,AAF13660,"gamma-glutamyltranspeptidase, required for polyglutamate anchoring to peptidoglycan ",Bacillus anthracis,dep/capD,Capsule (VF0141) 
5,VFG000680,AAF13661,"CapA, required for Poly-gamma-glutamate transport ",Bacillus anthracis,capA,Capsule (VF0141) 
6,VFG000681,AAF13662,"CapC, involved in Poly-gamma-glutamate synthesis ",Bacillus anthracis,capC,Capsule (VF0141) 
7,VFG000682,AAF13663,"CapB, involved in Poly-gamma-glutamate synthesis ",Bacillus anthracis,capB,Capsule (VF0141) 
8,VFG016216,YP_029366,thiol-activated cytolysin ,Bacillus anthracis str. Sterne,BAS3109,ALO (VF0534) 
9,VFG016223,NP_977531,cytotoxin K ,Bacillus cereus ATCC 10987,cytK,CytK (VF0535) 
10,VFG016254,NP_832844,Hemolysin BL binding component precursor ,Bacillus cereus ATCC 14579,hblA,HBL (VF0532) 
11,VFG016260,NP_832846,Hemolysin BL lytic component L1 ,Bacillus cereus ATCC 14579,hblD,HBL (VF0532) 
12,VFG016263,NP_832847,Hemolysin BL lytic component L2 ,Bacillus cereus ATCC 14579,hblC,HBL (VF0532) 
13,VFG016270,NP_978284,non-hemolytic enterotoxin A ,Bacillus cereus ATCC 10987,nheA,Nhe (VF0533) 
14,VFG016278,NP_978285,non-hemolytic enterotoxin B ,Bacillus cereus ATCC 10987,nheB,Nhe (VF0533) 
15,VFG016286,NP_978286,non-hemolytic enterotoxin C ,Bacillus cereus ATCC 10987,nheC,Nhe (VF0533) 
16,VFG016306,YP_016572,"CapE, involved in Poly-gamma-glutamate synthesis ",Bacillus anthracis str. Ames Ancestor,capE,Capsule (VF0141) 
17,VFG016338,YP_026915,immune inhibitor A metalloprotease ,Bacillus anthracis str. Sterne,inhA,InhA (VF0536) 
18,VFG045350,NP_390986,hydrophobin BslA ,Bacillus subtilis subsp. subtilis str. 168,bslA/yuaB,BslA (VF0411) 
19,VFG002231,YP_034051,type IV secretion system major pilin subunit VirB2 protein homolog ,Bartonella henselae str. Houston-1,virB2,VirB/VirD4 type IV secretion system (VF0369) 
20,VFG002232,YP_034052,type IV secretion system virB3 protein homolog ,Bartonella henselae str. Houston-1,virB3,VirB/VirD4 type IV secretion system (VF0369) 
21,VFG002233,YP_034053,type IV secretion system virB4 protein homolog ,Bartonella henselae str. Houston-1,virB4,VirB/VirD4 type IV secretion system (VF0369) 
22,VFG002234,YP_034054,17-kDa antigen precursor VirB5 ,Bartonella henselae str. Houston-1,virB5,VirB/VirD4 type IV secretion system (VF0369) 
23,VFG002235,YP_034055,type IV secretion system virB6 protein homolog ,Bartonella henselae str. Houston-1,virB6,VirB/VirD4 type IV secretion system (VF0369) 
